year,fips,pop2020,pop2024,state,stateCode,growthSince2020,name,county,slug,landArea,density,rank,densityMi,areaMi,white%,AdjacentCounties,AdjacentCodes
2024,17103,34062,33370,Illinois,IL,-0.020315895,Lee County,Lee County,illinois/lee-county,725,46.02758620689655,42,46.02758620689655,725,88.07,"""Bureau County, IL"" 17011 ""DeKalb County, IL"" 17037 ""LaSalle County, IL"" 17099 ""Lee County, IL"" 17103 ""Ogle County, IL"" 17141 ""Whiteside County, IL"" 17195","17011, 17037, 17099, 17103, 17141, 17195"
2024,17105,35792,35123,Illinois,IL,-0.018691328,Livingston County,Livingston County,illinois/livingston-county,1044,33.64272030651341,39,33.64272030651341,1044,91.38,"""Ford County, IL"" 17053 ""Grundy County, IL"" 17063 ""Kankakee County, IL"" 17091 ""LaSalle County, IL"" 17099 ""Livingston County, IL"" 17105 ""McLean County, IL"" 17113 ""Woodford County, IL"" 17203","17053, 17063, 17091, 17099, 17105, 17113, 17203"
2024,17107,27912,27514,Illinois,IL,-0.0142591,Logan County,Logan County,illinois/logan-county,618,44.5210356,48,44.5210356,618,88.7,"""De Witt County, IL"" 17039 ""Logan County, IL"" 17107 ""McLean County, IL"" 17113 ""Macon County, IL"" 17115 ""Mason County, IL"" 17125 ""Menard County, IL"" 17129 ""Sangamon County, IL"" 17167 ""Tazewell County, IL"" 17179","17039, 17107, 17113, 17115, 17125, 17129, 17167, 17179"
2024,17115,103752,99849,Illinois,IL,-0.037618552,Macon County,Macon County,illinois/macon-county,581,171.85714285714286,20,171.85714285714286,581,76.03,"""Christian County, IL"" 17021 ""De Witt County, IL"" 17039 ""Logan County, IL"" 17107 ""Macon County, IL"" 17115 ""Moultrie County, IL"" 17139 ""Piatt County, IL"" 17147 ""Sangamon County, IL"" 17167 ""Shelby County, IL"" 17173","17021, 17039, 17107, 17115, 17139, 17147, 17167, 17173"
2024,17117,44856,43913,Illinois,IL,-0.021022829,Macoupin County,Macoupin County,illinois/macoupin-county,863,50.884125144843566,32,50.884125144843566,863,95.34,"""Greene County, IL"" 17061 ""Jersey County, IL"" 17083 ""Macoupin County, IL"" 17117 ""Madison County, IL"" 17119 ""Montgomery County, IL"" 17135 ""Morgan County, IL"" 17137 ""Sangamon County, IL"" 17167","17061, 17083, 17117, 17119, 17135, 17137, 17167"
2024,17119,265643,261932,Illinois,IL,-0.013969877,Madison County,Madison County,illinois/madison-county,716,365.8268156424581,8,365.8268156424581,716,85.01,"""Bond County, IL"" 17005 ""Clinton County, IL"" 17027 ""Jersey County, IL"" 17083 ""Macoupin County, IL"" 17117 ""Madison County, IL"" 17119 ""Montgomery County, IL"" 17135 ""St. Clair County, IL"" 17163 ""St. Charles County, MO"" 29183 ""St. Louis County, MO"" 29189 ""St. Louis city, MO"" 29510","17005, 17027, 17083, 17117, 17119, 17135, 17163, 29183, 29189, 29510"
2024,17121,37652,36441,Illinois,IL,-0.032162966,Marion County,Marion County,illinois/marion-county,573,63.596858638743456,37,63.596858638743456,573,91.15,"""Clay County, IL"" 17025 ""Clinton County, IL"" 17027 ""Fayette County, IL"" 17051 ""Jefferson County, IL"" 17081 ""Marion County, IL"" 17121 ""Washington County, IL"" 17189 ""Wayne County, IL"" 17191","17025, 17027, 17051, 17081, 17121, 17189, 17191"
2024,17123,11717,11695,Illinois,IL,-0.001877614,Marshall County,Marshall County,illinois/marshall-county,387,30.219638242894057,84,30.219638242894057,387,94.37,"""Bureau County, IL"" 17011 ""LaSalle County, IL"" 17099 ""Marshall County, IL"" 17123 ""Peoria County, IL"" 17143 ""Putnam County, IL"" 17155 ""Stark County, IL"" 17175","17011, 17099, 17123, 17143, 17155, 17175"
2024,17125,13058,12347,Illinois,IL,-0.05444938,Mason County,Mason County,illinois/mason-county,539,22.907235621521338,82,22.907235621521338,539,96.44,"""Cass County, IL"" 17017 ""Fulton County, IL"" 17057 ""Logan County, IL"" 17107 ""Mason County, IL"" 17125 ""Menard County, IL"" 17129 ""Schuyler County, IL"" 17169 ""Tazewell County, IL"" 17179","17017, 17057, 17107, 17125, 17129, 17169, 17179"
2024,17127,14133,13495,Illinois,IL,-0.045142574,Massac County,Massac County,illinois/massac-county,237,56.94092827004219,75,56.94092827004219,237,88.32,"""Johnson County, IL"" 17087 ""Massac County, IL"" 17127 ""Pope County, IL"" 17151 ""Pulaski County, IL"" 17153 ""Livingston County, KY"" 21139 ""McCracken County, KY"" 21145","17087, 17127, 17151, 17153, 21139, 21145"
